BS,CellName,RUType,Mode,Frequency,Bandwidth,Antennas,TXpower
B_0,Cell0,Type1,Mode2,365,20,4,6.87593423
B_1,Cell0,Type2,Mode2,532,20,4,6.87593423
B_2,Cell0,Type1,Mode2,365,20,4,6.87593423
B_3,Cell0,Type2,Mode2,532,20,4,6.87593423
B_4,Cell0,Type2,Mode2,532,20,4,6.87593423
B_5,Cell0,Type3,Mode2,189,10,4,6.427503737
B_6,Cell0,Type3,Mode2,189,10,4,6.427503737
B_7,Cell0,Type1,Mode2,365,20,4,6.87593423
B_8,Cell0,Type1,Mode2,365,20,2,6.87593423
B_9,Cell0,Type4,Mode2,532,20,2,6.87593423
B_10,Cell0,Type1,Mode2,365,20,2,6.87593423
B_11,Cell0,Type4,Mode2,532,20,2,6.87593423
B_12,Cell0,Type4,Mode2,532,20,2,6.87593423
B_13,Cell0,Type5,Mode2,189,10,2,5.979073244
B_14,Cell0,Type5,Mode2,189,10,2,6.427503737
B_15,Cell0,Type5,Mode2,189,10,2,6.427503737
B_16,Cell0,Type1,Mode2,365,20,2,6.87593423
B_17,Cell0,Type1,Mode2,365,20,2,6.87593423
B_18,Cell0,Type4,Mode2,532,20,2,6.87593423
B_19,Cell0,Type1,Mode2,365,20,2,6.87593423
B_20,Cell0,Type4,Mode2,532,20,2,6.87593423
B_21,Cell0,Type4,Mode2,532,20,2,6.87593423
B_22,Cell0,Type6,Mode2,189,10,2,6.427503737
B_23,Cell0,Type6,Mode2,189,10,2,6.427503737
B_24,Cell0,Type6,Mode2,189,10,2,6.427503737
B_25,Cell0,Type1,Mode2,365,20,2,6.87593423
B_26,Cell0,Type1,Mode2,365,20,2,6.87593423
B_27,Cell0,Type4,Mode2,532,20,2,6.87593423
B_28,Cell0,Type1,Mode2,365,20,2,6.87593423
B_29,Cell0,Type4,Mode2,532,20,2,6.87593423
B_30,Cell0,Type4,Mode2,532,20,2,6.87593423
B_31,Cell0,Type3,Mode2,189,10,2,6.427503737
B_32,Cell0,Type3,Mode2,189,10,2,6.427503737
B_33,Cell0,Type3,Mode2,189,10,2,6.427503737
B_34,Cell0,Type1,Mode2,365,20,2,6.87593423
B_35,Cell0,Type1,Mode2,365,20,2,6.87593423
B_36,Cell0,Type1,Mode2,365,20,2,6.87593423
B_37,Cell0,Type4,Mode2,532,20,2,6.87593423
B_38,Cell0,Type4,Mode2,532,20,2,6.87593423
B_39,Cell0,Type6,Mode2,189,10,2,6.427503737
B_40,Cell0,Type6,Mode2,189,10,2,6.427503737
B_41,Cell0,Type1,Mode2,365,20,2,6.87593423
B_42,Cell0,Type4,Mode2,532,20,2,6.87593423
B_43,Cell0,Type1,Mode2,365,20,2,6.87593423
B_44,Cell0,Type4,Mode2,532,20,2,6.87593423
B_45,Cell0,Type4,Mode2,532,20,2,6.87593423
B_46,Cell0,Type1,Mode2,365,20,2,6.87593423
