Time,BS,Energy
1/1/2023 1:00,B_0,64.27503737
1/1/2023 2:00,B_0,55.90433483
1/1/2023 3:00,B_0,57.6980568
1/1/2023 4:00,B_0,55.15695067
1/1/2023 5:00,B_0,56.05381166
1/1/2023 7:00,B_0,82.95964126
1/1/2023 8:00,B_0,91.03139013
1/1/2023 9:00,B_0,78.17638266
1/1/2023 10:00,B_0,72.64573991
1/1/2023 14:00,B_0,66.66666667
1/1/2023 15:00,B_0,67.56352765
1/1/2023 16:00,B_0,72.64573991
1/1/2023 17:00,B_0,88.04185351
1/1/2023 18:00,B_0,90.28400598
1/1/2023 19:00,B_0,84.30493274
1/1/2023 20:00,B_0,77.13004484
1/1/2023 21:00,B_0,79.07324365
1/1/2023 22:00,B_0,83.55754858
1/2/2023 0:00,B_0,78.62481315
1/2/2023 1:00,B_0,63.82660688
1/2/2023 2:00,B_0,55.754858
1/2/2023 3:00,B_0,56.95067265
1/2/2023 4:00,B_0,55.45590433
1/2/2023 5:00,B_0,56.20328849
1/2/2023 6:00,B_0,65.17189836
1/2/2023 8:00,B_0,89.83557549
1/2/2023 9:00,B_0,79.37219731
1/2/2023 10:00,B_0,71.1509716
1/2/2023 11:00,B_0,74.28998505
1/2/2023 12:00,B_0,70.55306428
1/2/2023 13:00,B_0,71.59940209
1/2/2023 14:00,B_0,74.88789238
1/2/2023 15:00,B_0,70.85201794
1/2/2023 16:00,B_0,77.57847534
1/2/2023 17:00,B_0,84.75336323
1/2/2023 18:00,B_0,90.28400598
1/2/2023 20:00,B_0,76.83109118
1/2/2023 21:00,B_0,79.37219731
1/2/2023 22:00,B_0,88.63976084
1/2/2023 23:00,B_0,82.36173393
1/3/2023 0:00,B_0,71.59940209
1/3/2023 1:00,B_0,66.06875934
1/3/2023 2:00,B_0,60.53811659
1/3/2023 3:00,B_0,58.59491779
1/3/2023 4:00,B_0,53.96113602
1/3/2023 5:00,B_0,54.26008969
1/3/2023 6:00,B_0,61.13602392
1/3/2023 7:00,B_0,68.60986547
1/3/2023 8:00,B_0,74.88789238
1/3/2023 9:00,B_0,77.42899851
1/3/2023 10:00,B_0,74.14050822
1/3/2023 11:00,B_0,75.33632287
1/3/2023 12:00,B_0,78.47533632
1/3/2023 13:00,B_0,75.4857997
1/3/2023 14:00,B_0,73.69207773
1/3/2023 15:00,B_0,74.28998505
1/3/2023 16:00,B_0,76.83109118
1/3/2023 17:00,B_0,84.00597907
1/3/2023 18:00,B_0,85.94917788
1/3/2023 19:00,B_0,78.92376682
1/3/2023 20:00,B_0,79.8206278
1/3/2023 21:00,B_0,85.94917788
1/3/2023 22:00,B_0,87.29446936
1/3/2023 23:00,B_0,82.36173393
1/4/2023 0:00,B_0,71.1509716
1/4/2023 1:00,B_0,63.97608371
1/4/2023 3:00,B_0,57.6980568
1/4/2023 6:00,B_0,56.80119581
1/4/2023 7:00,B_0,61.88340807
1/4/2023 8:00,B_0,65.17189836
1/4/2023 10:00,B_0,72.79521674
1/4/2023 11:00,B_0,76.98056801
1/4/2023 12:00,B_0,78.02690583
1/4/2023 14:00,B_0,75.33632287
1/4/2023 15:00,B_0,73.5426009
1/4/2023 16:00,B_0,74.14050822
1/4/2023 17:00,B_0,76.68161435
1/4/2023 18:00,B_0,75.78475336
